Data,Nazwa stacji,Lokalizacja,Województwo,Temperatura wody[°C]
2023-05-05,HEL,Morze Bałtyckie,pomorskie,7.9
2023-05-05,PUCK,Morze Bałtyckie,pomorskie,10.6
2023-05-05,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-05-05,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,13.1
2023-05-05,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,10.1
2023-05-05,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,11.1
2023-05-05,DADAJ,Jez. Dadaj,warmińsko-mazurskie,9.5
2023-05-05,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,11.8
2023-05-05,IZBICA,Jez. Łebsko,pomorskie,11.2
2023-05-05,SIKORY,Jez. Komorze,zachodniopomorskie,12.3
2023-05-05,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,9.0
2023-05-05,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,11.6
2023-05-05,IŃSKO,Jez. Ińsko,zachodniopomorskie,9.4
2023-05-05,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,10.8
2023-05-05,BUNTOWO,Jez. Sławianowskie,wielkopolskie,11.4
2023-05-05,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,10.0
2023-05-05,JASIEŃ,Jez. Jasień Pd.,pomorskie,11.6
2023-05-05,BORUCINO,Jez. Raduńskie Górne,pomorskie,brak danych
2023-05-05,GARDNA WIELKA,Jez. Gardno,pomorskie,10.4
2023-05-05,JEZIORNA,Jez. Wdzydze,pomorskie,brak danych
2023-05-05,CHARZYKOWY,Jez. Charzykowskie,pomorskie,brak danych
2023-05-05,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,brak danych
2023-05-05,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,10.8
2023-05-05,PRZEŁAZY,Jez. Niesłysz,lubuskie,11.6
2023-05-05,RADZYŃ,Jez. Sławskie,lubuskie,12.3
2023-05-05,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,13.8
2023-05-05,POWIDZ,Jez. Powidzkie,wielkopolskie,11.0
2023-05-05,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,11.7
2023-05-05,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,13.4
2023-05-05,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,9.2
2023-05-06,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,12.2
2023-05-06,EŁK,Jez. Ełckie,warmińsko-mazurskie,11.7
2023-05-06,BORKI,Jez. Litygajno,warmińsko-mazurskie,11.6
2023-05-06,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,12.5
2023-05-06,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,12.0
2023-05-06,WIGRY,Jez. Wigry,podlaskie,11.0
2023-05-06,WÓLKA,Jez. Rospuda Filipowska,podlaskie,8.9
2023-05-06,WRÓBEL,Jez. Hańcza,podlaskie,7.3
2023-05-06,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,11.0
2023-05-06,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,12.5
2023-05-06,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-05-06,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,10.6
2023-05-06,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-05-06,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,12.8
2023-05-06,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,10.4
2023-05-06,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,10.8
2023-05-06,USTKA,Morze Bałtyckie,pomorskie,11.3
2023-05-06,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,9.5
2023-05-06,HEL,Morze Bałtyckie,pomorskie,7.4
2023-05-06,PUCK,Morze Bałtyckie,pomorskie,10.0
2023-05-06,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-05-06,MALDANIN,Jez. Roś,warmińsko-mazurskie,12.1
2023-05-06,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,13.0
2023-05-06,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,9.7
2023-05-06,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,10.8
2023-05-06,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,10.0
2023-05-06,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,9.8
2023-05-06,IZBICA,Jez. Łebsko,pomorskie,9.2
2023-05-06,SIKORY,Jez. Komorze,zachodniopomorskie,12.8
2023-05-06,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,7.5
2023-05-06,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,10.8
2023-05-06,IŃSKO,Jez. Ińsko,zachodniopomorskie,9.3
2023-05-06,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,12.6
2023-05-06,BUNTOWO,Jez. Sławianowskie,wielkopolskie,12.0
2023-05-06,NAKIELNO,Jez. Bytyń Wielki,zachodniopomorskie,11.5
2023-05-06,JASIEŃ,Jez. Jasień Pd.,pomorskie,11.6
